LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	Yes
X_Columns	One
Time_Pref	Absolute
Operator	zvar
Date	2019/12/12
Time	14:05:43.3750046999997029484
***End_of_Header***	
	
Channels	2		
Samples	72000	72000	
Date	2019/12/12	2019/12/12	
Time	14:05:43.3750046999997029484	14:05:43.3750046999997029484	
Y_Unit_Label	Volts	Volts	
X_Dimension	Time	Time	
X0	0.0000000000000000E+0	0.0000000000000000E+0	
Delta_X	0.000100	0.000100	
***End_of_Header***			
X_Value	Cyl 1_Flywheel	TRG	Comment
0.000000	-7.152364	0.145917
0.000100	-7.171130	4.411355
0.000200	-7.191515	4.410708
0.000300	-7.208987	4.411355
0.000400	-7.228077	4.410061
0.000500	-7.243284	4.408443
0.000600	-7.262698	4.410061
0.000700	-7.276611	4.412649
0.000800	-7.290848	4.412326
0.000900	-7.308320	4.412002
0.001000	-7.318674	4.412002
0.001100	-7.330969	4.411355
0.001200	-7.345853	4.411032
0.001300	-7.358795	4.411355
0.001400	-7.374003	4.412326
0.001500	-7.386621	4.413620
0.001600	-7.391798	4.413944
0.001700	-7.403770	4.413297
0.001800	-7.416065	4.414591
0.001900	-7.425449	4.413944
0.002000	-7.436126	4.412326
0.002100	-7.445833	4.414267
0.002200	-7.456834	4.413620
0.002300	-7.466864	4.413620
0.002400	-7.475924	4.415238
0.002500	-7.486601	4.414914
0.002600	-7.496955	4.414591
0.002700	-7.497603	4.411679
0.002800	-7.507633	4.411679
0.002900	-7.515075	4.411679
0.003000	-7.523811	4.412649
0.003100	-7.532223	4.412326
0.003200	-7.535135	4.412326
0.003300	-7.542577	4.412002
0.003400	-7.549696	4.410385
0.003500	-7.560373	4.412649
0.003600	-7.563932	4.412326
0.003700	-7.567491	4.410061
0.003800	-7.572021	4.410708
0.003900	-7.580434	4.409737
0.004000	-7.582699	4.410708
0.004100	-7.590788	4.411355
0.004200	-7.596935	4.412002
0.004300	-7.600818	4.412649
0.004400	-7.606966	4.412002
0.004500	-7.611172	4.411679
0.004600	-7.612790	4.412649
0.004700	-7.617320	4.411032
0.004800	-7.621526	4.410061
0.004900	-7.624762	4.412002
0.005000	-7.633498	4.411355
0.005100	-7.633174	4.410061
0.005200	-7.640292	4.412002
0.005300	-7.641910	4.410385
0.005400	-7.645469	4.410061
0.005500	-7.648705	4.410061
0.005600	-7.651294	4.409090
0.005700	-7.655823	4.408767
0.005800	-7.660030	4.409737
0.005900	-7.661324	4.408120
0.006000	-7.665530	4.408443
0.006100	-7.670707	4.408767
0.006200	-7.669413	4.408443
0.006300	-7.679443	4.408767
0.006400	-7.680414	4.409737
0.006500	-7.685591	4.408443
0.006600	-7.686562	4.406502
0.006700	-7.689474	4.408120
0.006800	-7.699180	4.409090
0.006900	-7.701122	4.409090
0.007000	-7.706946	4.407473
0.007100	-7.712770	4.409090
0.007200	-7.714388	4.409090
0.007300	-7.718594	4.408120
0.007400	-7.724418	4.408443
0.007500	-7.726683	4.408443
0.007600	-7.731213	4.407796
0.007700	-7.737684	4.407796
0.007800	-7.743832	4.408443
0.007900	-7.746744	4.408767
0.008000	-7.755156	4.409737
0.008100	-7.757745	4.408767
0.008200	-7.763892	4.409414
0.008300	-7.767775	4.410061
0.008400	-7.774570	4.409090
0.008500	-7.781688	4.409090
0.008600	-7.788159	4.410061
0.008700	-7.793013	4.410708
0.008800	-7.798513	4.411355
0.008900	-7.806279	4.410385
0.009000	-7.806602	4.410061
0.009100	-7.815986	4.410708
0.009200	-7.820515	4.410385
0.009300	-7.827310	4.410708
0.009400	-7.832164	4.409414
0.009500	-7.835076	4.410708
0.009600	-7.848989	4.412973
0.009700	-7.849959	4.411355
0.009800	-7.856107	4.409090
0.009900	-7.863872	4.410385
0.010000	-7.865167	4.408767
0.010100	-7.870667	4.409090
0.010200	-7.877786	4.410061
0.010300	-7.882639	4.410385
0.010400	-7.887816	4.410385
0.010500	-7.894611	4.411032
0.010600	-7.895905	4.408443
0.010700	-7.901729	4.407149
0.010800	-7.904641	4.409090
0.010900	-7.912083	4.408443
0.011000	-7.908524	4.407796
0.011100	-7.925672	4.408443
0.011200	-7.915966	4.408120
0.011300	-7.928584	4.408120
0.011400	-7.928261	4.408767
0.011500	-7.927614	4.408443
0.011600	-7.932467	4.407796
0.011700	-7.933761	4.409414
0.011800	-7.936026	4.409090
0.011900	-7.939909	4.409090
0.012000	-7.939909	4.409737
0.012100	-7.950587	4.408767
0.012200	-7.943792	4.409414
0.012300	-7.950910	4.410061
0.012400	-7.948322	4.410708
0.012500	-7.950910	4.409414
0.012600	-7.956087	4.409737
0.012700	-7.951881	4.409737
0.012800	-7.963205	4.412002
0.012900	-7.958028	4.412649
0.013000	-7.960293	4.410385
0.013100	-7.959646	4.409737
0.013200	-7.960940	4.411032
0.013300	-7.964176	4.409414
0.013400	-7.962882	4.409414
0.013500	-7.968706	4.410385
0.013600	-7.963529	4.409090
0.013700	-7.966441	4.411032
0.013800	-7.971941	4.411032
0.013900	-7.970324	4.409737
0.014000	-7.970971	4.410385
0.014100	-7.972912	4.411032
0.014200	-7.970971	4.410708
0.014300	-7.973883	4.410708
0.014400	-7.976471	4.411679
0.014500	-7.975824	4.410708
0.014600	-7.974854	4.411032
0.014700	-7.977442	4.412326
0.014800	-7.978413	4.412973
0.014900	-7.975824	4.412002
0.015000	-7.983266	4.412649
0.015100	-7.982619	4.412649
0.015200	-7.981001	4.412973
0.015300	-7.981325	4.412649
0.015400	-7.978736	4.412973
